shipment_id,status,date,hour,timezone,city_locality,state,lat,lon,pod_url
AE302,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE303,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE304,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE305,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE306,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE307,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE308,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE309,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE310,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE311,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE312,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE313,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE314,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE315,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE316,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE317,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE318,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE319,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE320,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE321,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE322,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE323,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE324,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE325,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE326,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE327,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE328,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE329,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE330,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE331,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE332,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE333,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE334,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE335,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE336,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE337,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE338,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE339,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE340,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE341,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE342,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE343,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE344,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE345,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE346,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE347,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE348,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE349,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE350,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE351,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE352,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE353,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE354,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE355,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE356,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE357,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE358,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE359,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE360,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
AE361,"ON HOLD",09-24-2022,08:50:59,America/New_York,,,,,
